Points_0,Points_1,Points_2,Points_Magnitude,activeset,displacement_0,displacement_1,displacement_2,displacement_Magnitude,gap,nodal_cauchy_stresses_xyz_0,nodal_cauchy_stresses_xyz_1,nodal_cauchy_stresses_xyz_2,nodal_cauchy_stresses_xyz_3,nodal_cauchy_stresses_xyz_4,nodal_cauchy_stresses_xyz_5,nodal_cauchy_stresses_xyz_Magnitude,norcontactstress_0,norcontactstress_1,norcontactstress_2,norcontactstress_Magnitude,tancontactstress_0,tancontactstress_1,tancontactstress_2,tancontactstress_Magnitude,Point ID
4.82247e-20,-0.948387,0,0.948387,0,-7.85566e-19,-0.00138125,0,0.00138125,0,-2.09647,-6.65612,0,-6.85438e-15,0,0,6.97848,0,0,0,0,0,0,0,0,88
2.43327e-19,-0.941935,0,0.941935,0,-8.05435e-19,-0.00155579,0,0.00155579,0,-1.76891,-6.39978,0,-6.20988e-16,0,0,6.63974,0,0,0,0,0,0,0,0,89
-0.00755821,-0.941911,0,0.941941,0,-3.85174e-05,-0.00157525,0,0.00157572,0,-1.76962,-6.35807,0,0.305347,0,0,6.6068,0,0,0,0,0,0,0,0,90
-0.00764924,-0.948361,0,0.948392,0,-3.18337e-05,-0.00140246,0,0.00140282,0,-2.09374,-6.61191,0,0.30877,0,0,6.94237,0,0,0,0,0,0,0,0,91
-5.98582e-19,-0.954839,0,0.954839,0,6.26677e-19,-0.0012034,0,0.0012034,0,-2.49184,-6.912,0,4.89187e-13,0,0,7.34745,0,0,0,0,0,0,0,0,92
4.82247e-20,-0.948387,0,0.948387,0,-7.85566e-19,-0.00138125,0,0.00138125,0,-2.09647,-6.65612,0,-6.85438e-15,0,0,6.97848,0,0,0,0,0,0,0,0,93
-0.00764924,-0.948361,0,0.948392,0,-3.18337e-05,-0.00140246,0,0.00140282,0,-2.09374,-6.61191,0,0.30877,0,0,6.94237,0,0,0,0,0,0,0,0,94
-0.00774027,-0.954812,0,0.954843,0,-2.25591e-05,-0.00122641,0,0.00122661,0,-2.48458,-6.86581,0,0.305922,0,0,7.30795,0,0,0,0,0,0,0,0,95
5.26912e-19,-0.96129,0,0.96129,0,9.24102e-19,-0.00102336,0,0.00102336,0,-2.96739,-7.16295,0,1.64682e-14,0,0,7.75328,0,0,0,0,0,0,0,0,96
2.60761e-19,-0.954839,0,0.954839,0,6.29182e-19,-0.0012034,0,0.0012034,0,-2.49184,-6.912,0,4.89153e-13,0,0,7.34745,0,0,0,0,0,0,0,0,97
-0.00774027,-0.954812,0,0.954843,0,-2.25591e-05,-0.00122641,0,0.00122661,0,-2.48458,-6.86581,0,0.305922,0,0,7.30795,0,0,0,0,0,0,0,0,98
-0.0078313,-0.961262,0,0.961294,0,-1.00518e-05,-0.00104818,0,0.00104823,0,-2.95455,-7.11539,0,0.295271,0,0,7.71008,0,0,0,0,0,0,0,0,99
7.46473e-19,-0.967742,0,0.967742,0,2.62695e-18,-0.000842605,0,0.000842605,0,-3.53596,-7.40396,0,5.5718e-15,0,0,8.20498,0,0,0,0,0,0,0,0,100
-3.42538e-19,-0.96129,0,0.96129,0,9.22986e-19,-0.00102336,0,0.00102336,0,-2.96739,-7.16295,0,1.6501e-14,0,0,7.75328,0,0,0,0,0,0,0,0,101
-0.0078313,-0.961262,0,0.961294,0,-1.00518e-05,-0.00104818,0,0.00104823,0,-2.95455,-7.11539,0,0.295271,0,0,7.71008,0,0,0,0,0,0,0,0,102
-0.00792233,-0.967713,0,0.967745,0,6.40313e-06,-0.000869217,0,0.000869241,0,-3.51675,-7.35564,0,0.275596,0,0,8.15775,0,0,0,0,0,0,0,0,103
1.01965e-18,-0.974194,0,0.974194,0,3.47546e-18,-0.000663003,0,0.000663003,0,-4.20965,-7.62992,0,-1.76977e-14,0,0,8.71417,0,0,0,0,0,0,0,0,104
-1.33083e-19,-0.967742,0,0.967742,0,2.62766e-18,-0.000842605,0,0.000842605,0,-3.53596,-7.40396,0,5.6024e-15,0,0,8.20498,0,0,0,0,0,0,0,0,105
-0.00792233,-0.967713,0,0.967745,0,6.40313e-06,-0.000869217,0,0.000869241,0,-3.51675,-7.35564,0,0.275596,0,0,8.15775,0,0,0,0,0,0,0,0,106
-0.00801336,-0.974163,0,0.974196,0,2.75555e-05,-0.000691359,0,0.000691908,0,-4.18382,-7.5813,0,0.246353,0,0,8.66263,0,0,0,0,0,0,0,0,107
4.13266e-19,-0.980645,0,0.980645,0,4.5496e-18,-0.000486783,0,0.000486783,0,-4.9983,-7.83615,0,-5.5281e-13,0,0,9.29453,0,0,0,0,0,0,0,0,108
1.29985e-19,-0.974194,0,0.974194,0,3.47852e-18,-0.000663003,0,0.000663003,0,-4.20965,-7.62992,0,-1.76703e-14,0,0,8.71417,0,0,0,0,0,0,0,0,109
-0.00801336,-0.974163,0,0.974196,0,2.75555e-05,-0.000691359,0,0.000691908,0,-4.18382,-7.5813,0,0.246353,0,0,8.66263,0,0,0,0,0,0,0,0,110
-0.00810439,-0.980613,0,0.980647,0,5.41288e-05,-0.000516828,0,0.000519655,0,-4.96648,-7.78745,0,0.208039,0,0,9.2387,0,0,0,0,0,0,0,0,111
7.1676e-19,-0.987097,0,0.987097,0,5.7818e-18,-0.000316496,0,0.000316496,0,-5.90776,-8.01911,0,-2.35553e-14,0,0,9.96031,0,0,0,0,0,0,0,0,112
4.13266e-19,-0.980645,0,0.980645,0,4.5496e-18,-0.000486783,0,0.000486783,0,-4.9983,-7.83615,0,-5.5281e-13,0,0,9.29453,0,0,0,0,0,0,0,0,113
-0.00810439,-0.980613,0,0.980647,0,5.41288e-05,-0.000516828,0,0.000519655,0,-4.96648,-7.78745,0,0.208039,0,0,9.2387,0,0,0,0,0,0,0,0,114
-0.00819542,-0.987064,0,0.987098,0,8.67418e-05,-0.00034819,0,0.000358832,0,-5.87154,-7.97024,0,0.162417,0,0,9.90081,0,0,0,0,0,0,0,0,115
1.04047e-18,-0.993548,0,0.993548,0,8.79369e-18,-0.000154907,0,0.000154907,0,-6.93825,-8.17699,0,2.55932e-14,0,0,10.7239,0,0,0,0,0,0,0,0,116
-1.93115e-19,-0.987097,0,0.987097,0,5.79144e-18,-0.000316496,0,0.000316496,0,-5.90776,-8.01911,0,-2.35373e-14,0,0,9.96031,0,0,0,0,0,0,0,0,117
-0.00819542,-0.987064,0,0.987098,0,8.67418e-05,-0.00034819,0,0.000358832,0,-5.87154,-7.97024,0,0.162417,0,0,9.90081,0,0,0,0,0,0,0,0,118
-0.00828645,-0.993514,0,0.993549,0,0.000125826,-0.000188251,0,0.00022643,0,-6.90009,-8.12755,0,0.112469,0,0,10.6621,0,0,0,0,0,0,0,0,119
1.20486e-19,-0.993548,0,0.993548,0,8.80766e-18,-0.000154907,0,0.000154907,0,-6.93825,-8.17699,0,2.56057e-14,0,0,10.7239,0,0,0,0,0,0,0,0,120
-0.00837748,-0.999965,0,1,1,0.000171552,-3.9905e-05,0,0.000176133,-8.39368e-19,-8.18375,-8.5489,0,0.0970756,0,0,11.835,7.00929e-05,8.4625,0,8.4625,-1.97139e-15,1.63286e-20,0,1.97139e-15,121
-0.0112932,-0.806447,0,0.806526,0,-6.1263e-05,-0.00419196,0,0.00419241,0,-0.109359,-2.95093,0,0.155777,0,0,2.95706,0,0,0,0,0,0,0,0,122
-0.00564659,-0.80645,0,0.80647,0,-3.07222e-05,-0.00418411,0,0.00418422,0,-0.104039,-2.96301,0,0.0781719,0,0,2.96586,0,0,0,0,0,0,0,0,123
-0.00555556,-0.8,0,0.800019,0,-2.96076e-05,-0.00427015,0,0.00427026,0,-0.0863043,-2.86952,0,0.073206,0,0,2.87175,0,0,0,0,0,0,0,0,124
-0.0111111,-0.8,0,0.800077,0,-5.90555e-05,-0.00427732,0,0.00427772,0,-0.0909221,-2.85832,0,0.14592,0,0,2.86348,0,0,0,0,0,0,0,0,125
-0.0114752,-0.812894,0,0.812975,0,-6.35512e-05,-0.00410421,0,0.00410471,0,-0.124822,-3.03825,0,0.166731,0,0,3.04539,0,0,0,0,0,0,0,0,126
-0.00573762,-0.812901,0,0.812921,0,-3.18786e-05,-0.00409561,0,0.00409573,0,-0.118939,-3.05181,0,0.0836956,0,0,3.05528,0,0,0,0,0,0,0,0,127
-0.00564659,-0.80645,0,0.80647,0,-3.07222e-05,-0.00418411,0,0.00418422,0,-0.104039,-2.96301,0,0.0781719,0,0,2.96586,0,0,0,0,0,0,0,0,128
-0.0112932,-0.806447,0,0.806526,0,-6.1263e-05,-0.00419196,0,0.00419241,0,-0.109359,-2.95093,0,0.155777,0,0,2.95706,0,0,0,0,0,0,0,0,129
-0.0116572,-0.819341,0,0.819424,0,-6.59193e-05,-0.00401397,0,0.00401451,0,-0.141808,-3.13013,0,0.178574,0,0,3.13843,0,0,0,0,0,0,0,0,130
-0.00582865,-0.819351,0,0.819372,0,-3.30766e-05,-0.00400453,0,0.00400467,0,-0.135304,-3.14536,0,0.0896723,0,0,3.14954,0,0,0,0,0,0,0,0,131
-0.00573762,-0.812901,0,0.812921,0,-3.18786e-05,-0.00409561,0,0.00409573,0,-0.118939,-3.05181,0,0.0836956,0,0,3.05528,0,0,0,0,0,0,0,0,132
